accion	origen	destino	motivo
MOVIDO	emu/ROMS/ATARI2600/3-D Genesis (Prototype).png	emu/MEDIA/ATARI2600/3-D Genesis (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/3-D Ghost Attack (Prototype).png	emu/MEDIA/ATARI2600/3-D Ghost Attack (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/3-D Havoc (Prototype).png	emu/MEDIA/ATARI2600/3-D Havoc (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/3-D Tic-Tac-Toe (NA).png	emu/MEDIA/ATARI2600/3-D Tic-Tac-Toe (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/3-D Zapper (Prototype).png	emu/MEDIA/ATARI2600/3-D Zapper (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/A Mysterious Thief (NA).png	emu/MEDIA/ATARI2600/A Mysterious Thief (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Acid Drop (NTSC Conversion).png	emu/MEDIA/ATARI2600/Acid Drop (NTSC Conversion).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Action Man - Action Force (EU).png	emu/MEDIA/ATARI2600/Action Man - Action Force (EU).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Actionauts (Prototype).png	emu/MEDIA/ATARI2600/Actionauts (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Adventure (NA).png	emu/MEDIA/ATARI2600/Adventure (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Adventures of Tron (NA).png	emu/MEDIA/ATARI2600/Adventures of Tron (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Air Raid (NA).png	emu/MEDIA/ATARI2600/Air Raid (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Air Raiders (NA).png	emu/MEDIA/ATARI2600/Air Raiders (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Air-Sea Battle (NA).png	emu/MEDIA/ATARI2600/Air-Sea Battle (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Airlock (NA).png	emu/MEDIA/ATARI2600/Airlock (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Alien (NA).png	emu/MEDIA/ATARI2600/Alien (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Alligator People (Prototype).png	emu/MEDIA/ATARI2600/Alligator People (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Alpha Beam With Ernie (NA).png	emu/MEDIA/ATARI2600/Alpha Beam With Ernie (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Amidar (NA).png	emu/MEDIA/ATARI2600/Amidar (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/AndroMan on the Moon (Prototype).png	emu/MEDIA/ATARI2600/AndroMan on the Moon (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Apples and Dolls (BR).png	emu/MEDIA/ATARI2600/Apples and Dolls (BR).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Aquaventure (Prototype).png	emu/MEDIA/ATARI2600/Aquaventure (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Armor Ambush (NA).png	emu/MEDIA/ATARI2600/Armor Ambush (NA).png	carátula a MEDIA
