accion	origen	destino	motivo
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1941.zip	emu/ROMS/ARCADE/FBNEO/CPS1/1941.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps1: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1941j.zip	emu/ROMS/ARCADE/FBNEO/CPS1/1941j.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps1: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1941r1.zip	emu/ROMS/ARCADE/FBNEO/CPS1/1941r1.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps1: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1941u.zip	emu/ROMS/ARCADE/FBNEO/CPS1/1941u.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012_cps1: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1942.zip	emu/ROMS/ARCADE/FBNEO/1942.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1942a.zip	emu/ROMS/ARCADE/FBNEO/1942a.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1942abl.zip	emu/ROMS/ARCADE/FBNEO/1942abl.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1942b.zip	emu/ROMS/ARCADE/FBNEO/1942b.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1942w.zip	emu/ROMS/ARCADE/FBNEO/1942w.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1943.zip	emu/ROMS/ARCADE/FBNEO/1943.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1943b.zip	emu/ROMS/ARCADE/FBNEO/1943b.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1943j.zip	emu/ROMS/ARCADE/FBNEO/1943j.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1943ja.zip	emu/ROMS/ARCADE/FBNEO/1943ja.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
MOVIDO	emu/final-burn-alpha-2012-split-v-0.2.97.24-2890-of-2896/Final Burn Alpha 2012 (Split) (v0.2.97.24) (2890 of 2896)/roms/1943kai.zip	emu/ROMS/ARCADE/FBNEO/1943kai.zip	FB Alpha 2012 v0.2.97.24 -> core fbalpha2012: arranca
