accion	origen	destino	motivo
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/0 and X (1987)(Wicked Software).prg	emu/ROMS/C64/PRG/#/0 and X (1987)(Wicked Software).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1 Bundesliga Manager (19xx)(Oliver Kups)(de).prg	emu/ROMS/C64/PRG/#/1 Bundesliga Manager (19xx)(Oliver Kups)(de).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1 x 1 Kampf (19xx)(Steven C. Darnold)(de).prg	emu/ROMS/C64/PRG/#/1 x 1 Kampf (19xx)(Steven C. Darnold)(de).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1.000 Miles (19xx)(-).prg	emu/ROMS/C64/PRG/#/1.000 Miles (19xx)(-).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1.000 Miles (19xx)(-)[a].prg	emu/EXTRAS/C64-PRG-variantes/#/1.000 Miles (19xx)(-)[a].prg	variante de 1.000 Miles (19xx)(-).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1.000 Miles (19xx)(-)[h TBT].prg	emu/EXTRAS/C64-PRG-variantes/#/1.000 Miles (19xx)(-)[h TBT].prg	variante de 1.000 Miles (19xx)(-).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10-Pin Bowling (1984)(CDS Microsystems).prg	emu/ROMS/C64/PRG/#/10-Pin Bowling (1984)(CDS Microsystems).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10-Pin Bowling (1984)(CDS Microsystems)[cr HTL].prg	emu/EXTRAS/C64-PRG-variantes/#/10-Pin Bowling (1984)(CDS Microsystems)[cr HTL].prg	variante de 10-Pin Bowling (1984)(CDS Microsystems).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10-Pin Bowling (1984)(CDS Microsystems)[h CHR].prg	emu/EXTRAS/C64-PRG-variantes/#/10-Pin Bowling (1984)(CDS Microsystems)[h CHR].prg	variante de 10-Pin Bowling (1984)(CDS Microsystems).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10-Pin Bowling (1984)(CDS Microsystems)[h D+D].prg	emu/EXTRAS/C64-PRG-variantes/#/10-Pin Bowling (1984)(CDS Microsystems)[h D+D].prg	variante de 10-Pin Bowling (1984)(CDS Microsystems).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10-Pin Bowling (1984)(CDS Microsystems)[h JYS].prg	emu/EXTRAS/C64-PRG-variantes/#/10-Pin Bowling (1984)(CDS Microsystems)[h JYS].prg	variante de 10-Pin Bowling (1984)(CDS Microsystems).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/100 Meter Dash (19xx)(-)[cr ASS].prg	emu/ROMS/C64/PRG/#/100 Meter Dash (19xx)(-)[cr ASS].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/100 Meter Dash (19xx)(-)[h TBT].prg	emu/EXTRAS/C64-PRG-variantes/#/100 Meter Dash (19xx)(-)[h TBT].prg	variante de 100 Meter Dash (19xx)(-)[cr ASS].prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/100 Meter Slith (19xx)(-)[h UCD].prg	emu/ROMS/C64/PRG/#/100 Meter Slith (19xx)(-)[h UCD].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/100 Mile Race (1986)(Commodore Microcomputers Magazine).prg	emu/ROMS/C64/PRG/#/100 Mile Race (1986)(Commodore Microcomputers Magazine).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10th Frame (1986)(Access Software).prg	emu/ROMS/C64/PRG/#/10th Frame (1986)(Access Software).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10th Frame (1986)(Access Software)[cr CBA].prg	emu/EXTRAS/C64-PRG-variantes/#/10th Frame (1986)(Access Software)[cr CBA].prg	variante de 10th Frame (1986)(Access Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10th Frame (1986)(Access Software)[cr DD][a].prg	emu/EXTRAS/C64-PRG-variantes/#/10th Frame (1986)(Access Software)[cr DD][a].prg	variante de 10th Frame (1986)(Access Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10th Frame (1986)(Access Software)[cr REM][a].prg	emu/EXTRAS/C64-PRG-variantes/#/10th Frame (1986)(Access Software)[cr REM][a].prg	variante de 10th Frame (1986)(Access Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10th Frame (1986)(Access Software)[h DD].prg	emu/EXTRAS/C64-PRG-variantes/#/10th Frame (1986)(Access Software)[h DD].prg	variante de 10th Frame (1986)(Access Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10th Frame (1986)(Access Software)[h REM].prg	emu/EXTRAS/C64-PRG-variantes/#/10th Frame (1986)(Access Software)[h REM].prg	variante de 10th Frame (1986)(Access Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/10th Frame (1986)(Access Software)[h TAC].prg	emu/EXTRAS/C64-PRG-variantes/#/10th Frame (1986)(Access Software)[h TAC].prg	variante de 10th Frame (1986)(Access Software).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/12 O'Clock (1991)(CP Verlag)[cr DTC][t +1 DTC].prg	emu/EXTRAS/C64-PRG-variantes/#/12 O'Clock (1991)(CP Verlag)[cr DTC][t +1 DTC].prg	variante de 12 O'Clock (1991)(CP Verlag)[cr EMP+ARC].prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/12 O'Clock (1991)(CP Verlag)[cr EMP+ARC].prg	emu/ROMS/C64/PRG/#/12 O'Clock (1991)(CP Verlag)[cr EMP+ARC].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/12 O'Clock (1991)(CP Verlag)[cr Mayhem][t +1 Mayhem].prg	emu/EXTRAS/C64-PRG-variantes/#/12 O'Clock (1991)(CP Verlag)[cr Mayhem][t +1 Mayhem].prg	variante de 12 O'Clock (1991)(CP Verlag)[cr EMP+ARC].prg
