accion	origen	destino	motivo
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/911 Tiger Shark (Europe).zip::911 Tiger Shark (Europe).T64	emu/ROMS/C64/911 Tiger Shark (Europe) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre 911 Tiger Shark (Europe).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/ACE - Air Combat Emulator (Europe).zip::ACE - Air Combat Emulator (Europe).D64	emu/ROMS/C64/ACE - Air Combat Emulator (Europe) (Alt).D64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre ACE - Air Combat Emulator (Europe).D64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Action Biker (Europe).zip::Action Biker (Europe).D64	emu/ROMS/C64/Action Biker (Europe) (Alt).D64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Action Biker (Europe).D64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Alien Attack (Wicked Software) (Europe).zip::Alien Attack (Wicked Software) (Europe).T64	emu/ROMS/C64/Alien Attack (Wicked Software) (Europe) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Alien Attack (Wicked Software) (Europe).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Alien Taskforce (Europe) (Unl).zip::Alien Taskforce (Europe) (Unl).T64	emu/ROMS/C64/Alien Taskforce (Europe) (Unl) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Alien Taskforce (Europe) (Unl).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Amazon (C. Disc) (USA).zip::Amazon (C. Disc) (USA).T64	emu/ROMS/C64/Amazon (C. Disc) (USA) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Amazon (C. Disc) (USA).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Ambush (Europe).zip::Ambush (Europe).T64	emu/ROMS/C64/Ambush (Europe).T64	volcado que solo está en el pack de Google Drive
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Ata - The Revenge (USA) (Unl).zip::Ata - The Revenge (USA) (Unl).T64	emu/ROMS/C64/Ata - The Revenge (USA) (Unl).T64	volcado que solo está en el pack de Google Drive
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Axiens (Europe).zip::Axiens (Europe).D64	emu/ROMS/C64/Axiens (Europe) (Alt).D64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Axiens (Europe).D64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Aztec (USA).zip::Aztec (USA).T64	emu/ROMS/C64/Aztec (USA) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Aztec (USA).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Bangers & Mash (Europe).zip::Bangers & Mash (Europe).T64	emu/ROMS/C64/Bangers & Mash (Europe) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Bangers & Mash (Europe).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Battle for Normandy (USA).zip::Battle for Normandy (USA).D64	emu/ROMS/C64/Battle for Normandy (USA) (Alt).D64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Battle for Normandy (USA).D64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Beyond the Ice Palace (Europe).zip::Beyond the Ice Palace (Europe).D64	emu/ROMS/C64/Beyond the Ice Palace (Europe) (Alt).D64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Beyond the Ice Palace (Europe).D64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Blade Runner (Europe).zip::Blade Runner (Europe).T64	emu/ROMS/C64/Blade Runner (Europe) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Blade Runner (Europe).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Bomb Ace (USA).zip::Bomb Ace (USA).T64	emu/ROMS/C64/Bomb Ace (USA) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Bomb Ace (USA).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Bomb Fusion (Europe).zip::Bomb Fusion (Europe).T64	emu/ROMS/C64/Bomb Fusion (Europe) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Bomb Fusion (Europe).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Break Dance (USA).zip::Break Dance (USA).D64	emu/ROMS/C64/Break Dance (USA).D64	volcado que solo está en el pack de Google Drive
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Breakout Construction Kit (Europe).zip::Breakout Construction Kit (Europe).D64	emu/ROMS/C64/Breakout Construction Kit (Europe) (Alt).D64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Breakout Construction Kit (Europe).D64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Bruce Lee (USA).zip::Bruce Lee (USA).T64	emu/ROMS/C64/Bruce Lee (USA) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Bruce Lee (USA).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Car-O-Matic (USA).zip::Car-O-Matic (USA).D64	emu/ROMS/C64/Car-O-Matic (USA) (Alt).D64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Car-O-Matic (USA).D64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Castle-Kingdom (USA) (Unl).zip::Castle-Kingdom (USA) (Unl).T64	emu/ROMS/C64/Castle-Kingdom (USA) (Unl).T64	volcado que solo está en el pack de Google Drive
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Cavemania (Europe).zip::Cavemania (Europe).D64	emu/ROMS/C64/Cavemania (Europe) (Alt).D64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Cavemania (Europe).D64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Chicago_s 30 (Europe).zip::Chicago's 30 (Europe).T64	emu/ROMS/C64/Chicago's 30 (Europe) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Chicago's 30 (Europe).T64
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Ciphoid 9 (Europe).zip::Ciphoid 9 (Europe).T64	emu/ROMS/C64/Ciphoid 9 (Europe).T64	volcado que solo está en el pack de Google Drive
EXTRAIDO	emu/c64/Roms Commodore 64-20260913T224744Z-1-001/Roms Commodore 64/Citadel of Corruption (USA).zip::Citadel of Corruption (USA).T64	emu/ROMS/C64/Citadel of Corruption (USA) (Alt).T64	volcado que solo está en el pack de Google Drive; «(Alt)» porque Ghostware tiene otro volcado con el nombre Citadel of Corruption (USA).T64
