accion	origen	destino	motivo
EXTRAIDO	emu/dos/007 - Goldfinger.zip	emu/ROMS/DOS/007 - Goldfinger/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/007 - Goldfinger.conf	lanzador de dosbox_svn (seguro: GAME.COM)
MOVIDO	emu/dos/007 - Goldfinger.zip	emu/ORIGINALES/DOS/007 - Goldfinger.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/007 - Goldfinger/
EXTRAIDO	emu/dos/1000 Miglia.zip	emu/ROMS/DOS/1000 Miglia/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/1000 Miglia.conf	lanzador de dosbox_svn (dudoso: 1000/RUNME.BAT)
MOVIDO	emu/dos/1000 Miglia.zip	emu/ORIGINALES/DOS/1000 Miglia.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/1000 Miglia/
EXTRAIDO	emu/dos/1830 Railroads & Robber Barons.zip	emu/ROMS/DOS/1830 Railroads & Robber Barons/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/1830 Railroads & Robber Barons.conf	lanzador de dosbox_svn (seguro: 1830/1830.EXE)
MOVIDO	emu/dos/1830 Railroads & Robber Barons.zip	emu/ORIGINALES/DOS/1830 Railroads & Robber Barons.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/1830 Railroads & Robber Barons/
EXTRAIDO	emu/dos/1869.zip	emu/ROMS/DOS/1869/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/1869.conf	lanzador de dosbox_svn (seguro: 1869.EXE)
MOVIDO	emu/dos/1869.zip	emu/ORIGINALES/DOS/1869.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/1869/
EXTRAIDO	emu/dos/221B Baker Street.zip	emu/ROMS/DOS/221B Baker Street/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/221B Baker Street.conf	lanzador de dosbox_svn (seguro: 221.EXE)
MOVIDO	emu/dos/221B Baker Street.zip	emu/ORIGINALES/DOS/221B Baker Street.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/221B Baker Street/
EXTRAIDO	emu/dos/2400 a.d..zip	emu/ROMS/DOS/2400 a.d/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/2400 a.d.conf	lanzador de dosbox_svn (seguro: 2400AD.COM)
MOVIDO	emu/dos/2400 a.d..zip	emu/ORIGINALES/DOS/2400 a.d..zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/2400 a.d/
EXTRAIDO	emu/dos/3D Pool.zip	emu/ROMS/DOS/3D Pool/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/3D Pool.conf	lanzador de dosbox_svn (seguro: pool.exe)
MOVIDO	emu/dos/3D Pool.zip	emu/ORIGINALES/DOS/3D Pool.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/3D Pool/
EXTRAIDO	emu/dos/3D World Boxing.zip	emu/ROMS/DOS/3D World Boxing/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/3D World Boxing.conf	lanzador de dosbox_svn (dudoso: 3dbox/3DWB.BAT)
MOVIDO	emu/dos/3D World Boxing.zip	emu/ORIGINALES/DOS/3D World Boxing.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/3D World Boxing/
EXTRAIDO	emu/dos/4th Protocol.zip	emu/ROMS/DOS/4th Protocol/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/4th Protocol.conf	lanzador de dosbox_svn (seguro: PROTOCOL.COM)
MOVIDO	emu/dos/4th Protocol.zip	emu/ORIGINALES/DOS/4th Protocol.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/4th Protocol/
EXTRAIDO	emu/dos/4th and inches.zip	emu/ROMS/DOS/4th and inches/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/4th and inches.conf	lanzador de dosbox_svn (seguro: 4TH.EXE)
MOVIDO	emu/dos/4th and inches.zip	emu/ORIGINALES/DOS/4th and inches.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/4th and inches/
EXTRAIDO	emu/dos/4x4 Off-Road Racing.zip	emu/ROMS/DOS/4x4 Off-Road Racing/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/4x4 Off-Road Racing.conf	lanzador de dosbox_svn (dudoso: 4x4/4X4.EXE)
MOVIDO	emu/dos/4x4 Off-Road Racing.zip	emu/ORIGINALES/DOS/4x4 Off-Road Racing.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/4x4 Off-Road Racing/
EXTRAIDO	emu/dos/7 Cities of Gold.zip	emu/ROMS/DOS/7 Cities of Gold/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/7 Cities of Gold.conf	lanzador de dosbox_svn (dudoso: 7cities/7CITIES.EXE)
MOVIDO	emu/dos/7 Cities of Gold.zip	emu/ORIGINALES/DOS/7 Cities of Gold.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/7 Cities of Gold/
EXTRAIDO	emu/dos/7 Colors.zip	emu/ROMS/DOS/7 Colors/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/7 Colors.conf	lanzador de dosbox_svn (seguro: 7COLORS.COM)
MOVIDO	emu/dos/7 Colors.zip	emu/ORIGINALES/DOS/7 Colors.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/7 Colors/
EXTRAIDO	emu/dos/A-Train.zip	emu/ROMS/DOS/A-Train/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/A-Train.conf	lanzador de dosbox_svn (seguro: atrain/AT.EXE)
MOVIDO	emu/dos/A-Train.zip	emu/ORIGINALES/DOS/A-Train.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/A-Train/
EXTRAIDO	emu/dos/A320 Airbus.zip	emu/ROMS/DOS/A320 Airbus/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/A320 Airbus.conf	lanzador de dosbox_svn (dudoso: AIRBUS/A320.COM)
MOVIDO	emu/dos/A320 Airbus.zip	emu/ORIGINALES/DOS/A320 Airbus.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/A320 Airbus/
EXTRAIDO	emu/dos/Abrams Battle Tank.zip	emu/ROMS/DOS/Abrams Battle Tank/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Abrams Battle Tank.conf	lanzador de dosbox_svn (dudoso: RUNME.BAT)
MOVIDO	emu/dos/Abrams Battle Tank.zip	emu/ORIGINALES/DOS/Abrams Battle Tank.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Abrams Battle Tank/
EXTRAIDO	emu/dos/Absolute Pinball.zip	emu/ROMS/DOS/Absolute Pinball/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Absolute Pinball.conf	lanzador de dosbox_svn (seguro: ABSOLUTE/ABS.EXE)
MOVIDO	emu/dos/Absolute Pinball.zip	emu/ORIGINALES/DOS/Absolute Pinball.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Absolute Pinball/
EXTRAIDO	emu/dos/Abuse.zip	emu/ROMS/DOS/Abuse/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Abuse.conf	lanzador de dosbox_svn (seguro: ABUSE/ABUSE.EXE)
MOVIDO	emu/dos/Abuse.zip	emu/ORIGINALES/DOS/Abuse.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Abuse/
EXTRAIDO	emu/dos/Ace of Aces.zip	emu/ROMS/DOS/Ace of Aces/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Ace of Aces.conf	lanzador de dosbox_svn (seguro: aces/ACE.EXE)
MOVIDO	emu/dos/Ace of Aces.zip	emu/ORIGINALES/DOS/Ace of Aces.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Ace of Aces/
EXTRAIDO	emu/dos/Acheton.zip	emu/ROMS/DOS/Acheton/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Acheton.conf	lanzador de dosbox_svn (seguro: Acheton/ACHETON.COM)
MOVIDO	emu/dos/Acheton.zip	emu/ORIGINALES/DOS/Acheton.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Acheton/
EXTRAIDO	emu/dos/Action Fighter.zip	emu/ROMS/DOS/Action Fighter/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Action Fighter.conf	lanzador de dosbox_svn (dudoso: ACT_EGA.EXE)
MOVIDO	emu/dos/Action Fighter.zip	emu/ORIGINALES/DOS/Action Fighter.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Action Fighter/
EXTRAIDO	emu/dos/Advanced Civilization.zip	emu/ROMS/DOS/Advanced Civilization/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Advanced Civilization.conf	lanzador de dosbox_svn (dudoso: adcivi/AC_MAIN.EXE)
MOVIDO	emu/dos/Advanced Civilization.zip	emu/ORIGINALES/DOS/Advanced Civilization.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Advanced Civilization/
EXTRAIDO	emu/dos/African Raiders.zip	emu/ROMS/DOS/African Raiders/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/African Raiders.conf	lanzador de dosbox_svn (seguro: LOADER.EXE)
MOVIDO	emu/dos/African Raiders.zip	emu/ORIGINALES/DOS/African Raiders.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/African Raiders/
EXTRAIDO	emu/dos/After Burner.zip	emu/ROMS/DOS/After Burner/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/After Burner.conf	lanzador de dosbox_svn (seguro: AB.EXE)
MOVIDO	emu/dos/After Burner.zip	emu/ORIGINALES/DOS/After Burner.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/After Burner/
EXTRAIDO	emu/dos/Agent USA.zip	emu/ROMS/DOS/Agent USA/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Agent USA.conf	lanzador de dosbox_svn (dudoso: agentusa/AGENTUSA.EXE)
MOVIDO	emu/dos/Agent USA.zip	emu/ORIGINALES/DOS/Agent USA.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Agent USA/
